cnpj;nome;nome_reduzido;tipo;uf;situacao;banco;agencia;conta
01774125000131;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE GOVERNADOR MANGABEIRA;APAE DE GOVERNADOR MANGABEIRA;apae;BA;;001;2085-0;1024-3
06888134000177;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE GUAIUBA;APAE DE GUAIUBA;apae;CE;;001;3967-5;16823-8
05487065000127;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE GUAMIRANGA;APAE DE GUAMIRANGA;apae;PR;;748;071-9;13684-4
77881217000182;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE GUARANIACU;APAE DE GUARANIACU;apae;PR;;001;1350-1;23299-8
26511253000113;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE GUARANTA DO NORTE;APAE DE GUARANTA DO NORTE;apae;MT;;001;1589-X;27879-3
02540930000163;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE GUARATINGA;APAE DE GUARATINGA;apae;BA;;001;2099-0;9181-2
00305936000120;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE GUIMARANIA;APAE DE GUIMARANIA;apae;MG;;001;1067-7;19028-4
01823745000113;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ICO;APAE DE ICO;apae;CE;;104;1960;1515-3
05967762000185;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE IGARAPE-­MIRI;APAE DE IGARAPE-­MIRI;apae;PA;;001;4414-8;8162-0
03530341000167;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE IGUATU;APAE DE IGUATU;apae;CE;;001;0122-8;47528-9
05079318000123;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE INDEPENDENCIA;APAE DE INDEPENDENCIA;apae;CE;;001;1071-5;20679-2
04555188000195;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE IPIAU;APAE DE IPIAU;apae;BA;;001;0357-3;30180-9
02945180000100;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE IRACEMA;APAE DE IRACEMA;apae;CE;;001;1074-X;24266-7
02061266000170;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE IRAI DE MINAS;APAE DE IRAI DE MINAS;apae;MG;;001;1461-3;15636-1
07813214000126;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE IRANDUBA;APAE DE IRANDUBA;apae;AM;;104;4566;577495621-7
42717066000147;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ITABELA;APAE DE ITABELA;apae;BA;;001;4493-8;000015022-3
04616298000110;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ITACOATIARA;APAE DE ITACOATIARA;apae;AM;;237;3704-5;4509-8
42703108000190;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ITANHEM;APAE DE ITANHEM;apae;BA;;001;0851-6;20979-1
14392781000111;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ITAPETINGA;APAE DE ITAPETINGA;apae;BA;;001;0417-0;2019-2
32945099000190;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ITAUBA;APAE DE ITAUBA;apae;MT;;001;4137-8;6224-3
19952902000156;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ITUIUTABA;APAE DE ITUIUTABA;apae;MG;;756;3133-0;125123-6
09367430000110;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ITUPIRANGA;APAE DE ITUPIRANGA;apae;PA;;001;4533-0;21792-1
23368145000145;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ITURAMA;APAE DE ITURAMA;apae;MG;;001;0853-2;30961-3
16256083000114;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE JACOBINA;APAE DE JACOBINA;apae;BA;;001;0135-X;17457-2
36488836000124;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE JACUNDA;APAE DE JACUNDA;apae;PA;;001;4410-5;18022-0
09480024000160;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE JAGUARIBE;APAE DE JAGUARIBE;apae;CE;;104;0749;00000178-0
43646993000186;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE JARDIM;APAE DE JARDIM;apae;CE;;001;2208-X;31578-8
01524075000134;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE JAURU;APAE DE JAURU;apae;MT;;748;0805;62771-2
14636260000162;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE JEQUIE;APAE DE JEQUIE;apae;BA;;001;7124-2;5573-5
